Author,Title,Journal,Year,Volume,Number,Pages,Month,Abstract,Publisher,Address,Type,Language,Affiliation,DOI,ISSN,EISSN,Keywords,Areas,Categories,entry_type,citation_key,Editor,Booktitle,Series,Note,ISBN,Plus,Organization,Affiliations,References,Cited,days,2013,ISO,Index,ID,DA,Numbers,Acknowledgement,Text,EarlyAccessDate,OA
"Kagawa, Takuhiro and Saiki, Sachio and Nakamura, Masahide",Developing Personalized Security Information Service Using Open Data,,2017,,,465-470,,"Local governments in Japan recently provide security information    services for residents, which deliver regional incident information    using Email or Web. However, since the conventional services usually    provide ``one-for-all{''} information. users tend to miss important    incidents within the flood of information. In this paper, we propose a    new security information service, called PRISM (Personalized Real-time    Information with Security Map). For given incident information and    user's living area, PRISM first computes severity of the incident, based    on distance, time, and type of the incident. It then visualizes the    incidents with the severity on a heat map. Thus, PRISM provides    real-time personalized information adapted to individual situation of    users. To illustlate the feasibility, we implement PRISM as a Web    application using Hyogo Bouhan Net, and Kobe city facility open data.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Kagawa, T (Corresponding Author), Kobe Univ, Grad Sch Syst Informat, Nada Ku, 1-1 Rokkodai, Kobe, Hyogo 6578501, Japan.    Kagawa, Takuhiro; Saiki, Sachio; Nakamura, Masahide, Kobe Univ, Grad Sch Syst Informat, Nada Ku, 1-1 Rokkodai, Kobe, Hyogo 6578501, Japan.",,,,open data; security information service; smart city; visualization;    street crime; Web application,Computer Science,"Computer Science, Artificial Intelligence; Computer Science, Software    Engineering; Computer Science, Theory \& Methods",inproceedings,WOS:000426449600075,"Hochin, T and Hirata, H and Hiroki, N","2017 18TH IEEE/ACIS INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING,    ARTIFICIAL INTELLIGENCE, NETWORKING AND PARALLEL/DISTRIBUTED COMPUTING    (SNDP 2017)",,"18th IEEE/ACIS International Conference on Software Engineering,    Artificial Intelligence, Networking and Parallel/Distributed Computing    (SNPD), Kanazawa, JAPAN, JUN 26-28, 2017",978-1-5090-5504-3,,IEEE; Int Assoc Comp \& Informat Sci; IEEE Comp Soc,,,,,,,,,,,,,,
"Garcia, FD and Hoepman, JH and van Nieuwenhuizen, J",SPAM filter analysis,,2004,147,BBX54,395-410,,"Unsolicited bulk email (aka. spam) is a major problem on the Internet.    To counter spam, several techniques, ranging from spam filters to mail    protocol extensions like hashcash, have been proposed. In this paper we    investigate the effectiveness of several spam filtering techniques and    technologies. Our analysis was performed by simulating email traffic    under different conditions. We show that genetic algorithm based spam    filters perform best at server level and naive Bayesian filters are the    most appropriate for filtering at user level.",SPRINGER,"PO BOX 17, 3300 AA DORDRECHT, NETHERLANDS",Proceedings Paper,English,"Garcia, FD (Corresponding Author), Univ Nijmegen, Dept Comp Sci, Nijmegen, Netherlands.    Univ Nijmegen, Dept Comp Sci, Nijmegen, Netherlands.",,1571-5736,,spam; unsolicited email; email abuse; security; networking; Bayesian    filtering; genetic algorithms; text classification,Computer Science,"Computer Science, Information Systems; Computer Science, Theory \&    Methods",inproceedings,WOS:000228265600026,"Deswarte, Y and Cuppens, F and Jajodia, S and Wang, L",SECURITY AND PROTECTION IN INFORMATION PROCESSING SYSTEMS,INTERNATIONAL FEDERATION FOR INFORMATION PROCESSING,"19th International Information Security Conference held at the 18th    World Computer Congress, Toulouse, FRANCE, AUG 22-27, 2004",1-4020-8142-1,,IFIP TC11,Radboud University Nijmegen,21,10,0,1,,Conference Proceedings Citation Index - Science (CPCI-S),WOS:000228265600026,2025-07-09,"Garcia, Flavio/0000-0001-8552-5962",,,,
"Chaudhari, Swati and Chauhan, Hitendra and Tomar, S. S. and Rawat, Anil",User and Device Tracking in Private Networks by Correlating Logs: A    System for Responsive Forensic Analysis,,2014,,,1142-1147,,"IP address of a device, from where an offending activity was performed,    is of limited value, because it does not specify a physical device/user,    but an endpoint in network. It is useful to have information about where    a device/user was at the time the offending activity was performed. It    would be desirable to correlate different pieces of evidence to discover    information, such as IP addresses used by the same device, physical    address and location of the device, connection time of the device,    browsing habits and mail access transactions carried out by the user    using the device. Log data from various sources are required to be    correlated together to create contexts of information, which is not    visible from one source alone. In large networks, users/devices    accessing a private network repeatedly can be tracked by analyzing and    correlating DHCP, Network Access Control, WWW, Email server logs. With    huge amount of logs, the common approach of manual browsing, correlating    of log events, based on timelines is tedious, unresponsive approach.    Flat file based sequential search system is not responsive, hence RDBMS    based tracking systems are desirable. To build a responsive system    requires identifying, consolidating log files, conversion, transmission    and storage into relational databases. An automated system has been    developed at our organization for forensic analysis of network accesses,    with device and user tracking as its goal. We present, our approach to    perform log management, correlation, which assists in performing    responsive forensic analysis of real network with more than 2500 nodes,    aimed at tracking users/devices.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Chaudhari, S (Corresponding Author), Govt India, DAE, Raja Ramanna Ctr Adv Technol, Indore, Madhya Pradesh, India.    Chaudhari, Swati; Chauhan, Hitendra; Tomar, S. S.; Rawat, Anil, Govt India, DAE, Raja Ramanna Ctr Adv Technol, Indore, Madhya Pradesh, India.",10.1109/CSNT.2014.253,2329-7182,,Logs; DHCP; NAC; squid; email; security logs; data monitoring and    analysis tool,Computer Science; Engineering; Telecommunications,"Computer Science, Hardware \& Architecture; Engineering, Electrical \&    Electronic; Telecommunications",inproceedings,WOS:000355727600235,"Tomar, G and Singh, S",2014 FOURTH INTERNATIONAL CONFERENCE ON COMMUNICATION SYSTEMS AND    NETWORK TECHNOLOGIES (CSNT),International Conference on Communication Systems and Network    Technologies,"4th International Conference on Communication Systems and Network    Technologies (CSNT), Bhopal, INDIA, APR 07-09, 2014",978-1-4799-3070-8,,Natl Inst Tech Teachers Training \& Res; Machine Intelligence Res Lab;    Sergeant Infotech Pvt Ltd; IEEE; IEEE MTT Soc; IEEE India Council; IEEE    Comp Soc,,,,,,,,,,,,,,
"Cole, John Russell and Pence, Toni and Cummings, Jeffrey and Baker,    Elizabeth",Gamifying Security Awareness: A New Prototype,,2019,11594,,115-133,,"Data breaches within an organization have many causes. Social    engineering attacks, ransom-ware applications and harmful spam email    messages are data breach catalysts that are the result of human error.    Human error is the leading cause of data breach and is also one of the    more difficult factors for an organization to mitigate. Many users are    unable to see how their role is impacted by organizational security    policy, and therefor see no benefit to abide the policy. When employees    use company devices to perform personal tasks, or use personal devices    to perform business tasks, lines of ownership can be blurred and    important organizational data assets can be put at risk. Training and    awareness programs are too often treated as a bandage to fix a wound    inflicted by a breach after the fact. If employees were trained    effectively, the breach might not have occurred in the first place. This    project and accompanying research paper will explore the gamification of    the security training and awareness program. By developing role-based    game modules to teach secure behavior to all organizational users,    incentivizing secure behavior with real rewards that matter to    participants and applying the training throughout the year, it can be    possible to reinvent security awareness and prevent future data    breaches.",SPRINGER INTERNATIONAL PUBLISHING AG,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",Proceedings Paper,English,"Cole, JR; Pence, T; Cummings, J; Baker, E (Corresponding Author), Univ North Carolina Wilmington, Wilmington, NC 28403 USA.    Cole, John Russell; Pence, Toni; Cummings, Jeffrey; Baker, Elizabeth, Univ North Carolina Wilmington, Wilmington, NC 28403 USA.",10.1007/978-3-030-22351-9\_8,0302-9743,1611-3349,Virtual environment; Gamification; Security awareness,Computer Science,"Computer Science, Cybernetics; Computer Science, Information Systems;    Computer Science, Theory \& Methods",inproceedings,WOS:000657974300008,"Moallem, A","HCI FOR CYBERSECURITY, PRIVACY AND TRUST",Lecture Notes in Computer Science,"1stt International Conference on HCI for Cybersecurity, Privacy and    Trust (HCI-CPT) Held as Part of the 21st HCI International Conference,    Orlando, FL, JUL 26-31, 2019",978-3-030-22351-9; 978-3-030-22350-2,,,,,,,,,,,,,,,,
"Chiku, Sohto and Hara, Keisuke and Shikata, Junji",Chosen Ciphertext Security for Blind Identity-Based Encryption with    Certified Identities,,2023,14341,,299-314,,"Identity-based encryption (IBE) is one of the important extension of    public-key encryption (PKE) which can use identities, such as email    addresses or phone numbers, as public keys. Due to this aspect, IBE can    reduce the cost of maintaining public key infrastructure. However, it    has a special issue called the `' key escrow problem `', which means    that the key generation center (KGC) can decrypt all ciphertexts and get    all messages in them since it inherently has all user public/private key    pairs. To tackle this problem, Emura, Katsumata, and Watanabe recently    proposed a variant of IBE called blind IBE with certified identities by    introducing identity certifying authority (ICA). Their constructions are    based on pairing or lattice and secure against chosen plaintext attacks.    In this paper, we introduce security against chosen ciphertext attacks    (CCA security) for blind identity-based Encryption with certified    identities. More precisely, we formalize definitions of 3-types security    against chosen ciphertext attacks (security against corrupted users,    KGC, and ICA) for blind IBE with certified identities. Then, we propose    the first blind IBE with certified identities schemes. Roughly, we    provide a generic construction by applying the FujisakiOkamoto    transformation to previous CPA secure Blind IBE with certified    identities schemes. Through our generic construction, we obtain two    instantiations based on pairing or lattice. Finally, we implement our    pairing based scheme and demonstrate that it is practically efficient    compared with existing schemes.",SPRINGER-VERLAG SINGAPORE PTE LTD,"152 BEACH ROAD, \#21-01/04 GATEWAY EAST, SINGAPORE, 189721, SINGAPORE",Proceedings Paper,English,"Chiku, S (Corresponding Author), Yokohama Natl Univ, Yokohama, Japan.    Chiku, Sohto; Hara, Keisuke; Shikata, Junji, Yokohama Natl Univ, Yokohama, Japan.    Hara, Keisuke, Natl Inst Adv Ind Sci \& Technol, Tokyo, Japan.",10.1007/978-981-99-7032-2\_18,0302-9743,1611-3349,Identity-based Encryption; Chosen Ciphertext Security; Key Escrow    Problem; Pairing; Lattice,Computer Science,"Computer Science, Software Engineering; Computer Science, Theory \&    Methods",inproceedings,WOS:001166763200018,"Meng, W and Yan, Z and Piuri, V","INFORMATION SECURITY PRACTICE AND EXPERIENCE, ISPEC 2023",Lecture Notes in Computer Science,"18th International Conference on Information Security Practice and    Experience (ISPEC), Copenhagen, DENMARK, AUG 24-25, 2023",978-981-99-7031-5; 978-981-99-7032-2,NOTIONS,SPTAGE Lab; DTU Compute; Tech Univ Denmark,,,,,,,,,,,,,,
"Halim, Mohamad Azhar Abdul and Wen, Chuah Chai and Rahmi, Isredza and    Abdullah, Nurul Azma and Rahman, Nurul Hidayah Ab.",Email Authentication Using Symmetric and Asymmetric Key Algorithm    Encryption,,2017,1891,020047,,,"Protection of sensitive or classified data from unauthorized access,    hackers and other personals is virtue. Storage of data is done in    devices such as USB, external hard disk, laptops, I-Pad or at cloud.    Cloud computing presents with both ups and downs. However, storing    information elsewhere increases risk of being attacked by hackers.    Besides, the risk of losing the device or being stolen is increased in    case of storage in portable devices. There are array of mediums of    communications and even emails used to send data or information but    these technologies come along with severe weaknesses such as absence of    confidentiality where the message sent can be altered and sent to the    recipient. No proofs are shown to the recipient that the message    received is altered. The recipient would not find out unless he or she    checks with the sender. Without encrypted of data or message, sniffing    tools and software can be used to hack and read the information since it    is in plaintext. Therefore, an electronic mail authentication is    proposed, namely Hybrid Encryption System (HES). The security of HES is    protected using asymmetric and symmetric key algorithms. The asymmetric    algorithm is RSA and symmetric algorithm is Advance Encryption Standard.    With the combination for both algorithms in the HES may provide the    confidentiality and authenticity to the electronic documents send from    the sender to the recipient. In a nutshell, the HES will help users to    protect their valuable documentation and data from illegal third party    user.",AMER INST PHYSICS,"2 HUNTINGTON QUADRANGLE, STE 1NO1, MELVILLE, NY 11747-4501 USA",Proceedings Paper,English,"Halim, MAA (Corresponding Author), Univ Tun Hussein Onn Malaysia, Fak Sains Komputer \& Teknol Maklumat, Soft Comp \& Multimedia Ctr, Johor Baharu, Malaysia.    Halim, Mohamad Azhar Abdul; Wen, Chuah Chai; Rahmi, Isredza; Abdullah, Nurul Azma; Rahman, Nurul Hidayah Ab., Univ Tun Hussein Onn Malaysia, Fak Sains Komputer \& Teknol Maklumat, Soft Comp \& Multimedia Ctr, Johor Baharu, Malaysia.",10.1063/1.5005380,0094-243X,,,Physics,"Physics, Applied",inproceedings,WOS:000417349600047,"Nifa, FAA and Lin, CK and Hussain, A",2ND INTERNATIONAL CONFERENCE ON APPLIED SCIENCE AND TECHNOLOGY 2017    (ICAST'17),AIP Conference Proceedings,"2nd International Conference on Applied Science and Technology (ICAST),    MALAYSIA, APR 03-05, 2017",978-0-7354-1573-7,,Acad Res Soc Malaysia,,,,,,,,,,,,,,
"Torvi, Savitha D. and ShivaKumar, K. B. and Dash, Rupam",An Unique Data Security using Text Steganography,,2016,,,3834-3838,,"Demand for new and robust techniques for digital data security and    privacy are increasing with advancement of digital communication,    Internet and cloud based storage. Cryptography combined with    steganography is considered as a good measure of privacy protection    scheme. However conventionally, steganography deals with the hiding of    text or audio or image data within one another. For multimedia data like    image and videos, images are considered to be good carriers. However use    of image as carrier for hiding plain text data increases the storage    requirement and transmission bandwidth by multi-fold. Therefore in this    paper we propose an Unique Data Security using Text Steganography    (UDSTS) to build a system that is able to transmit and receive encrypted    messages embedded in rich text Format: {*}.DOC, {*}.RTF, EMAIL /Message    Body/, etc. The user can choose the fake text and the program tells    whether this fake text will suit the real text. The user is enabled to    set different password for every message he sends and therefore two    different messages can be transmitted to two groups with two different    passwords using the same fake text.    Text messages are considered to be harmless and do not trigger a    scrutiny. Hence the technique provides a very good data protection    scheme. We also demonstrate that the technique can be adopted to hide    text message behind different types of files including source codes like    c++, c\# code. Unlike image steganography, the memory and bandwidth    requirement are less.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Torvi, SD (Corresponding Author), Sri Siddhartha Acad Higher Educ, Tuinkur, India.    Torvi, Savitha D., Sri Siddhartha Acad Higher Educ, Tuinkur, India.    ShivaKumar, K. B., SSIT, Dept Telecommun Engn, Tumkur, India.    Dash, Rupam, Integrated Ideas, Kalaburagi, Karnataka, India.",,,,Steganography; Fake Text; Data Security,Computer Science; Engineering,"Computer Science, Theory \& Methods; Engineering, Electrical \&    Electronic",inproceedings,WOS:000388117503179,"Hoda, MN",PROCEEDINGS OF THE 10TH INDIACOM - 2016 3RD INTERNATIONAL CONFERENCE ON    COMPUTING FOR SUSTAINABLE GLOBAL DEVELOPMENT,,"3rd International Conference on Computing for Sustainable Global    Development (INDIACom), New Delhi, INDIA, MAR 16-18, 2016",978-9-3805-4419-9,,"GGSIP Univ; Govt India, Minist Sci \& Technol, Dept Sci \& Technol;    Council Sci \& Ind Res; All India Council Tech Educ; Inst Elect \&    Telecommunicat Engineers, Delhi Ctr; Inst Engn \& Technol, Delhi Local    Networks; Jagdishprasad Jhabarmal Tibrewala Univ; Bharati Vidyapeeths    Inst Comp Applicat \& Management; ISTE, Delhi Sect",,,,,,,,,,,,,,
IEEE,Fault Tree Analysis of Accidental Insider Security Events,,2012,,,113-118,,Insider threats have been categorized as unintentional and malicious.    The frameworks and models which are used to detect malicious behavior of    employees would likely fail to detect unintentional insider as there is    no malicious intent. This paper accentuates the limitation of MERIT    (Management and Education of Risks of Insider Threat) in its scope for    accidental insider threats and proposes Fault Tree Analysis (FTA) of the    security events caused by accidental insiders. We perform FTA on two    cases involving accidental insiders which help understand human side    behind the user errors. The first case involves data loss via outbound    email due to employee error while the second case involves accidental    disclosure of sensitive information by insiders. The countermeasures are    thus better interpreted and communicated as the causes of a threat are    well understood which is essential for human fault avoidance.,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Patil, P (Corresponding Author), Concordia Univ, Coll Alberta, Informat Syst Secur, 7128 Ada Blvd, Edmonton, AB T5B 4E4, Canada.    Patil, Pallavi; Zavarsky, Pavol; Lindskog, Dale; Ruhl, Ron, Concordia Univ, Coll Alberta, Informat Syst Secur, Edmonton, AB T5B 4E4, Canada.",10.1109/CyberSecurity.2012.21,,,Accidental insider event; Fault Tree Analysis (FTA); Minimal Cut Set    (MCS); root event; basic event,Computer Science; Engineering,"Computer Science, Theory \& Methods; Engineering, Electrical \&    Electronic",inproceedings,WOS:000326265700015,,2012 ASE INTERNATIONAL CONFERENCE ON CYBER SECURITY (CYBERSECURITY),,"ASE International Conference on Cyber Security (CyberSecurity) / ASE    International Conference on Social Informatics (SocialInformatics) / ASE    International Conference on Biomedical Computing (BioMedCom),    Washington, DC, DEC 14-16, 2012",978-0-7695-5014-5; 978-1-4799-0219-4,,Acad Sci \& Engn; IEEE Comp Soc,,,,,,,,,,,,,,
"Palaniappan, S. and Kirubakaran, Steward and Parthipan, V and Rinesh, S.",Generation of Multiple Key Based on Monitoring the User Behavior,,2020,89,,391-397,,"Cloud computing is the recent technology used to share and store the    computer resources rather than having resources in local server to    maintain the application. Though cloud is used for a large amount of    storage, there is no security in cloud. In general, all the groups have    data owners and data members each should have user name, key, and group    key. If a user shifts from one group to another, they can easily access    the information from another group. It leads to a security problem. In    order to increase security and confidentiality, author generates the new    group key via Email using Diffie-Hellman algorithm. In case of a new    user is added or an existing user leaves themselves from the group. The    data members have to get permission from the data owners in case of any    data updation. If the user misbehaves, i.e., (DDOS) attack, data owner    or cloud terminates the user from the group. The updated key is sent to    the users through Email. This mechanism significantly improves security    in cloud computing.",SPRINGER-VERLAG SINGAPORE PTE LTD,"152 BEACH ROAD, \#21-01/04 GATEWAY EAST, SINGAPORE, 189721, SINGAPORE",Proceedings Paper,English,"Palaniappan, S (Corresponding Author), KCG Coll Technol, Dept Comp Sci \& Engn, Chennai, Tamil Nadu, India.    Palaniappan, S.; Kirubakaran, Steward; Parthipan, V; Rinesh, S., KCG Coll Technol, Dept Comp Sci \& Engn, Chennai, Tamil Nadu, India.",10.1007/978-981-15-0146-3\_37,2367-3370,2367-3389,Cloud computing; Group key; DDOS attack,Computer Science; Telecommunications,"Computer Science, Information Systems; Computer Science, Theory \&    Methods; Telecommunications",inproceedings,WOS:000659674600037,"Ranganathan, G and Chen, J and Rocha, A","INVENTIVE COMMUNICATION AND COMPUTATIONAL TECHNOLOGIES, ICICCT 2019",Lecture Notes in Networks and Systems,"International Conference on Inventive Communication and Computational    Technologies (ICICCT), Gnanamani Coll Technol, Namakkal, INDIA, APR    29-30, 2019",978-981-15-0146-3; 978-981-15-0145-6,,,,,,,,,,,,,,,,
IEEE,Identification and Analysis of Email and Contacts Artefacts on iOS and    OSX,,2016,,,321-327,,"Acquiring data from cloud storage services has become increasingly    important to digital forensic investigations. As more providers offer    greater online storage facilities and user data is synchronised across    multiple devices, an abundance of data sources has become available to    assist with forensic investigations. However, such data can only become    evidence when there is a thorough understanding of the data dynamics    between client devices and the cloud, and there are explanations for any    variations. This paper documents and analyses the artefacts created by    interactions between Apple's cloud service, email, and contacts    applications. An explanation of why some artefacts synchronised over the    cloud do not have matching cryptographic hashes is offered, and the    ability to establish email origin on a system of multiple devices    sharing a single account is established.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Ovens, KM (Corresponding Author), Glasgow Caledonian Univ, Comp Commun \& Interact Syst, Glasgow, Lanark, Scotland.    Ovens, Kenneth M.; Morison, Gordon, Glasgow Caledonian Univ, Comp Commun \& Interact Syst, Glasgow, Lanark, Scotland.",10.1109/ARES.2016.56,,,Digital forensics; Apple; Cloud storage; iOS; Smart phones,Computer Science; Engineering,"Computer Science, Theory \& Methods; Engineering, Electrical \&    Electronic",inproceedings,WOS:000391214400040,,"PROCEEDINGS OF 2016 11TH INTERNATIONAL CONFERENCE ON AVAILABILITY,    RELIABILITY AND SECURITY, (ARES 2016)",,"11th International Conference on Availability, Reliability and Security    (ARES), Salzburg, AUSTRIA, AUG 31-SEP 02, 2016",978-1-5090-0990-9,,SBA Res; Fachhochcshule Salzburg Univ Appl Sci; Vienna Ulniv Technol;    Soc ICT Knowledge Transfer,,,,,,,,,,,,,,
"Zraqou, Jamal and Al-Helali, Adnan H. and Maqableh, Waleed and Fakhouri,    Hussam and Alkhadour, Wesam",Robust Email Spam Filtering Using a Hybrid of Grey Wolf Optimiser and    Naive Bayes Classifier,CYBERNETICS AND INFORMATION TECHNOLOGIES,2023,23,4,79-90,NOV 1,"Effective spam filtering plays a crucial role in enhancing user    experience by sparing them from unwanted messages. This imperative    underscores the importance of safeguarding email systems, prompting    scholars across diverse fields to delve deeper into this subject. The    primary objective of this research is to mitigate the disruptive effects    of spam on email usage by introducing improved security measures    compared to existing methods. This goal can be accomplished through the    development of a novel spam filtering technique designed to prevent spam    from infiltrating users' inboxes. Consequently, a hybrid filtering    approach that combines an information gain philter and a Wrapper Grey    Wolf Optimizer feature selection algorithm with a Naive Bayes    Classifier, is proposed, denoted as GWO-NBC. This research is rigorously    tested using the WEKA software and the SPAMBASE dataset. Thorough    performance evaluations demonstrated that the proposed approach    surpasses existing solutions in terms of both security and accuracy.",INST INFORMATION \& COMMUNICATION TECHNOLOGIES-BULGARIAN ACAD SCIENCES,"2, ACAD G BONCHEV, SOFIA, 1113, BULGARIA",Article,English,"Zraqou, J (Corresponding Author), Inst Energy Technol, Dept Virtual \& Augmented Real, Halden, Norway.    Zraqou, Jamal, Inst Energy Technol, Dept Virtual \& Augmented Real, Halden, Norway.    Al-Helali, Adnan H., Irbid Natl Univ, Fac Sci \& Informat Technol, Dept Cyber Secur, Irbid 21110, Jordan.    Maqableh, Waleed, Luminus Tech Univ Coll, Sch Creat Media, Amman, Jordan.    Fakhouri, Hussam, Univ Petra, Data Sci \& Artificial Intellegance, Amman, Jordan.    Alkhadour, Wesam, Isra Univ, Dept Civil Engn, Amman, Jordan.",10.2478/cait-2023-0037,1311-9702,1314-4081,,Computer Science,"Computer Science, Information Systems",article,WOS:001112122300014,,,,,,,,,,,,,,,,,,,,,
"Kagawa, Takuhiro and Saiki, Sachio and Nakamura, Masahide",PRISM: Visualizing Personalized Real-Time Incident on Security Map,INTERNATIONAL JOURNAL OF SOFTWARE INNOVATION,2018,6,HH2CR,46-58,OCT-DEC,"This article describes how local governments in Japan recently provide    security information services for residents, which deliver regional    incident information using Email or Web. However, since the conventional    services usually provide ``one-for-all{''} information. users tend to    miss important incidents within the flood of information. This article    proposes a new security information service, called PRISM (Personalized    Real-time Information with Security Map). For given incident information    and user's living area, PRISM first computes severity of the incident,    based on distance, time, and type of the incident. It then visualizes    the incidents with the severity on a heat map. Thus, PRISM provides    real-time personalized information adapted to individual situation of    users. To illustrate the feasibility, we implement PRISM as a Web    application using Hyogo Bouhan Net, and Kobe city facility open data.",IGI GLOBAL,"701 E CHOCOLATE AVE, STE 200, HERSHEY, PA 17033-1240 USA",Article,English,"Kagawa, T (Corresponding Author), Kobe Univ, Grad Sch Syst Informat, Kobe, Hyogo, Japan.    Kagawa, Takuhiro; Saiki, Sachio; Nakamura, Masahide, Kobe Univ, Grad Sch Syst Informat, Kobe, Hyogo, Japan.    Nakamura, Masahide, RIKEN AIP, Tokyo, Japan.",10.4018/IJSI.2018100104,2166-7160,2166-7179,Open Data; Security Information Service; Smart City; Street Crime;    Visualization; Web Application,Computer Science,"Computer Science, Software Engineering",article,WOS:000455526700004,,,,,,,,Kobe University; RIKEN,7,0,0,5,Int. J. Softw. Innov.,Emerging Sources Citation Index (ESCI),WOS:000455526700004,2025-07-09,"Nakamura, Masahide/O-5727-2016","Japan Ministry of Education, Science, Sports, and Culture {[}16H02908,    15H02701, 17H00731, 15K12020]; Tateishi Science and Technology    Foundation {[}2177004]; Grants-in-Aid for Scientific Research    {[}15H02701, 15K12020, 17H00731] Funding Source: KAKEN","This research was partially supported by the Japan Ministry of    Education, Science, Sports, and Culture {[}Grant-in-Aid for Scientific    Research (B) (16H02908, 15H02701), Grant-in-Aid for Scientific Research    (A) (17H00731), Challenging Exploratory Research (15K12020)], and    Tateishi Science and Technology Foundation (C) (No. 2177004).",,Green Published
IEEE,Human Interaction Proofs (HIPs) based on Emerging Images and Topological    Data Analysis (TDA) Techniques,,2019,,,,,"In this paper, we introduce an algorithm to generate emerging images    which can be used to implement Human Interaction Proofs (HIPs) based on    this kind of images. In a general setting we propose the design of    proofs easy to solve by human beings but hard to solve by computer    algorithms. These tests are able to tell apart human from bots (or    robots) in order to protect online environments (as social networks,    wikis, ticket sellers, free-email providers, etc) from different kind of    security threats.    Our proposal uses tools and techniques arising from TDA (point clouds,    simplicial complexes and spatial triangulation among others), in order    to create shapes which can be identified by humans as recognizable    images hard to detect by machines.",IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",Proceedings Paper,English,"Angarita, MAO (Corresponding Author), Univ Nacl Colombia, Bogota, Colombia.    Osorio Angarita, Maria Alejandra; Moreno Canadas, Agustin, Univ Nacl Colombia, Bogota, Colombia.    Izquierdo, Ebroul, Queen Mary Univ London, London, England.",10.1109/csnet47905.2019.9108952,,,CAPTCHA; Emergence; Emerging Images; Human Interactive Proofs; Security;    Simplicial Complex; Topological Data Analysis,Computer Science; Telecommunications,"Computer Science, Information Systems; Telecommunications",inproceedings,WOS:000681563600012,,2019 3RD CYBER SECURITY IN NETWORKING CONFERENCE (CSNET),,"3rd Cyber Security in Networking Conference (CSNet), Quito, ECUADOR, OCT    23-25, 2019",978-1-7281-3949-4,,,,,,,,,,,,,,,,
"Stojmenovic, Milica and Spero, Eric and Stojmenovic, Milos and Biddle,    Robert",What is Beautiful is Secure,ACM TRANSACTIONS ON PRIVACY AND SECURITY,2022,25,30,,JUL,"Visual appeal has been shown to influence perceptions of usability and    credibility, and we hypothesize that something similar is happening with    user judgments of website security: What is beautiful is secure. Web    certificates provide reliable information about a website's level of    security, presented in browser interfaces. Users should use this to    inform their trust decisions online, but evidence from laboratory    studies and real-world usage suggests that they do not. We conducted two    studies-one in lab, and one online-in which participants view and    interact with websites with high and low visual appeal, and various    security levels, and then make security-related judgments. In both    studies, participants consistently rated visually appealing websites as    more secure, and indicated they would be more likely to enter sensitive    information into visually appealing websites-even when they were less    secure. Our results provide evidence that users rely on visual appeal    when making security and trust decisions on websites. We discuss how    these results may be used to help users.",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, NY USA",Article,English,"Stojmenovic, M (Corresponding Author), Carleton Univ, 1125 Colonel By Dr, Ottawa, ON K1S 5B6, Canada.    Stojmenovic, Milica; Spero, Eric; Biddle, Robert, Carleton Univ, 1125 Colonel By Dr, Ottawa, ON K1S 5B6, Canada.    Stojmenovic, Milos, Singidunum Univ, Danijelova 32, Belgrade 160622, Vojvodina, Serbia.",10.1145/3533047,2471-2566,2471-2574,Aesthetics; visual appeal; cybersecurity; web certificates; perceived    usability; human-computer interaction,Computer Science; Fisheries,"Computer Science, Information Systems; Fisheries",article,WOS:000831640500006,,,,,,AESTHETICS; USABILITY; DESIGN; PERCEPTIONS; TRUST,,,,,,,,,,,,,,,
